conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,underground_ducts.current,underground_ducts.installTemp,underground_ducts.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,2C+E,POWER,SINGLE,2C+E 1MM2 CU PVC/PVC V-90 0.6/1kV,15,40,NIL,14,40,NIL,13,40,NIL,11,40,NIL,7,40,NIL,17,25,NIL,17,25,NIL,1,MM2,1,1,MM2,1,1,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 1.5MM2 CU PVC/PVC V-90 0.6/1kV,19,40,NIL,18,40,NIL,16,40,NIL,14,40,NIL,9,40,NIL,21,25,NIL,21,25,NIL,1.5,MM2,1,1.5,MM2,1,1.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,33,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 2.5MM2 CU PVC/PVC V-90 0.6/1kV,27,40,NIL,26,40,NIL,23,40,NIL,20,40,NIL,13,40,NIL,30,25,NIL,30,25,NIL,2.5,MM2,1,2.5,MM2,1,2.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 4MM2 CU PVC/PVC V-90 0.6/1kV,37,40,NIL,34,40,NIL,30,40,NIL,27,40,NIL,17,40,NIL,39,25,NIL,39,25,NIL,4,MM2,1,4,MM2,1,2.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.2,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 6MM2 CU PVC/PVC V-90 0.6/1kV,46,40,NIL,44,40,NIL,39,40,NIL,35,40,NIL,22,40,NIL,50,25,NIL,50,25,NIL,6,MM2,1,6,MM2,1,2.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.5,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 10MM2 CU PVC/PVC V-90 0.6/1kV,64,40,NIL,60,40,NIL,52,40,NIL,48,40,NIL,30,40,NIL,66,25,NIL,66,25,NIL,10,MM2,1,10,MM2,1,4,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.46,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 16MM2 CU PVC/PVC V-90 0.6/1kV,85,40,NIL,80,40,NIL,68,40,NIL,64,40,NIL,40,40,NIL,114,25,NIL,86,25,NIL,16,MM2,1,16,MM2,1,6,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.81,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 25MM2 CU PVC/PVC V-90 0.6/1kV,113,40,NIL,107,40,NIL,90,40,NIL,85,40,NIL,53,40,NIL,147,25,NIL,112,25,NIL,25,MM2,1,25,MM2,1,6,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.78,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 35MM2 CU PVC/PVC V-90 0.6/1kV,139,40,NIL,131,40,NIL,112,40,NIL,105,40,NIL,65,40,NIL,178,25,NIL,136,25,NIL,35,MM2,1,35,MM2,1,10,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.28,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 50MM2 CU PVC/PVC V-90 0.6/1kV,170,40,NIL,159,40,NIL,133,40,NIL,127,40,NIL,0,40,NIL,211,25,NIL,162,25,NIL,50,MM2,1,50,MM2,1,16,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.957,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 70MM2 CU PVC/PVC V-90 0.6/1kV,215,40,NIL,201,40,NIL,170,40,NIL,161,40,NIL,0,40,NIL,259,25,NIL,202,25,NIL,70,MM2,1,70,MM2,1,25,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.673,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 95MM2 CU PVC/PVC V-90 0.6/1kV,265,40,NIL,248,40,NIL,204,40,NIL,198,40,NIL,0,40,NIL,311,25,NIL,243,25,NIL,95,MM2,1,95,MM2,1,25,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.498,0,0,0,Olex,,A,
CU,2C+E,POWER,SINGLE,2C+E 120MM2 CU PVC/PVC V-90 0.6/1kV,307,40,NIL,288,40,NIL,241,40,NIL,230,40,NIL,0,40,NIL,355,25,NIL,282,25,NIL,120,MM2,1,120,MM2,1,35,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.405,0,0,0,Olex,,A,
