conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_surface.current,unenclosed_surface.installTemp,unenclosed_surface.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,ducts_single.current,ducts_single.installTemp,ducts_single.cableArrangement,ducts_per_cable.current,ducts_per_cable.installTemp,ducts_per_cable.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,1C,POWER,MULTI,1C 1MM2 CU PVC/PVC V-90 0.6/1kV,16,40,FLAT,14,40,FLAT,13,40,FLAT,12,40,FLAT,10,40,FLAT,6,40,FLAT,16,25,FLAT,16,25,FLAT,19,25,FLAT,1,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 1.5MM2 CU PVC/PVC V-90 0.6/1kV,20,40,FLAT,17,40,FLAT,16,40,FLAT,15,40,FLAT,12,40,FLAT,8,40,FLAT,20,25,FLAT,20,25,FLAT,24,25,FLAT,1.5,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,33,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 2.5MM2 CU PVC/PVC V-90 0.6/1kV,29,40,FLAT,25,40,FLAT,23,40,FLAT,21,40,FLAT,17,40,FLAT,12,40,FLAT,27,25,FLAT,27,25,FLAT,33,25,FLAT,2.5,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 4MM2 CU PVC/PVC V-90 0.6/1kV,38,40,FLAT,33,40,FLAT,31,40,FLAT,28,40,FLAT,23,40,FLAT,16,40,FLAT,36,25,FLAT,36,25,FLAT,43,25,FLAT,4,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.2,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 6MM2 CU PVC/PVC V-90 0.6/1kV,49,40,FLAT,42,40,FLAT,40,40,FLAT,35,40,FLAT,28,40,FLAT,20,40,FLAT,45,25,FLAT,45,25,FLAT,53,25,FLAT,6,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.5,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 10MM2 CU PVC/PVC V-90 0.6/1kV,67,40,FLAT,58,40,FLAT,54,40,FLAT,47,40,FLAT,37,40,FLAT,27,40,FLAT,59,25,FLAT,59,25,FLAT,70,25,FLAT,10,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.46,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 16MM2 CU PVC/PVC V-90 0.6/1kV,89,40,FLAT,77,40,FLAT,72,40,FLAT,62,40,FLAT,50,40,FLAT,36,40,FLAT,104,25,FLAT,78,25,FLAT,90,25,FLAT,16,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.81,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 25MM2 CU PVC/PVC V-90 0.6/1kV,120,40,FLAT,103,40,FLAT,97,40,FLAT,81,40,FLAT,64,40,FLAT,48,40,FLAT,134,25,FLAT,100,25,FLAT,117,25,FLAT,25,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.79,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 35MM2 CU PVC/PVC V-90 0.6/1kV,148,40,FLAT,127,40,FLAT,119,40,FLAT,100,40,FLAT,80,40,FLAT,59,40,FLAT,160,25,FLAT,122,25,FLAT,140,25,FLAT,35,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.29,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 50MM2 CU PVC/PVC V-90 0.6/1kV,181,40,FLAT,156,40,FLAT,146,40,FLAT,119,40,FLAT,95,40,FLAT,0,40,FLAT,190,25,FLAT,144,25,FLAT,168,25,FLAT,50,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.97,0,0,0,OLEX,,A,
CU,1C,POWER,MULTI,1C 70MM2 CU PVC/PVC V-90 0.6/1kV,230,40,FLAT,197,40,FLAT,184,40,FLAT,152,40,FLAT,122,40,FLAT,0,40,FLAT,233,25,FLAT,180,25,FLAT,205,25,FLAT,70,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.69,0,0,0,OLEX,,A,
