conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,underground_ducts.current,underground_ducts.installTemp,underground_ducts.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,3C+E,POWER,MULTI,3C+E 1.5MM2 CU XLPE/PVC X-90 0.6/1kV,20,40,NIL,19,40,NIL,16,40,NIL,15,40,NIL,9,40,NIL,20,25,NIL,20,25,NIL,1.5,MM2,3,0,MM2,0,1.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,30,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 2.5MM2 CU XLPE/PVC X-90 0.6/1kV,28,40,NIL,26,40,NIL,24,40,NIL,21,40,NIL,13,40,NIL,29,25,NIL,29,25,NIL,2.5,MM2,3,0,MM2,0,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,16.4,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 4MM2 CU XLPE/PVC X-90 0.6/1kV,38,40,NIL,35,40,NIL,30,40,NIL,28,40,NIL,18,40,NIL,37,25,NIL,37,25,NIL,4,MM2,3,0,MM2,0,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,10.2,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 6MM2 CU XLPE/PVC X-90 0.6/1kV,48,40,NIL,45,40,NIL,38,40,NIL,36,40,NIL,22,40,NIL,46,25,NIL,46,25,NIL,6,MM2,3,0,MM2,0,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,6.8,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 10MM2 CU XLPE/PVC X-90 0.6/1kV,66,40,NIL,62,40,NIL,53,40,NIL,49,40,NIL,31,40,NIL,63,25,NIL,63,25,NIL,10,MM2,3,0,MM2,0,4,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.05,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 16MM2 CU XLPE/PVC X-90 0.6/1kV,88,40,NIL,83,40,NIL,68,40,NIL,66,40,NIL,41,40,NIL,110,25,NIL,81,25,NIL,16,MM2,3,0,MM2,0,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.55,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 25MM2 CU XLPE/PVC X-90 0.6/1kV,119,40,NIL,111,40,NIL,91,40,NIL,89,40,NIL,56,40,NIL,143,25,NIL,107,25,NIL,25,MM2,3,0,MM2,0,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.61,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 35MM2 CU XLPE/PVC X-90 0.6/1kV,147,40,NIL,137,40,NIL,114,40,NIL,110,40,NIL,69,40,NIL,172,25,NIL,130,25,NIL,35,MM2,3,0,MM2,0,10,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.17,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 50MM2 CU XLPE/PVC X-90 0.6/1kV,180,40,NIL,168,40,NIL,136,40,NIL,134,40,NIL,0,40,NIL,204,25,NIL,155,25,NIL,50,MM2,3,0,MM2,0,16,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.868,0,0,0,OLEX,,A,
CU,3C+E,POWER,MULTI,3C+E 70MM2 CU XLPE/PVC X-90 0.6/1kV,229,40,NIL,213,40,NIL,173,40,NIL,170,40,NIL,0,40,NIL,251,25,NIL,193,25,NIL,70,MM2,3,0,MM2,0,25,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.609,0,0,0,OLEX,,A,
