conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_surface.current,unenclosed_surface.installTemp,unenclosed_surface.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,ducts_single.current,ducts_single.installTemp,ducts_single.cableArrangement,ducts_per_cable.current,ducts_per_cable.installTemp,ducts_per_cable.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,1C,ACTIVE,SINGLE,1C 1MM2 CU XLPE/PVC X-90 0.6/1kV,16,40,NIL,16,40,NIL,13,40,NIL,13,40,NIL,11,40,NIL,6,40,NIL,18,25,NIL,18,25,NIL,21,25,NIL,1,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 1.5MM2 CU XLPE/PVC X-90 0.6/1kV,26,40,NIL,25,40,NIL,20,40,NIL,21,40,NIL,16,40,NIL,10,40,NIL,26,25,NIL,26,25,NIL,30,25,NIL,1.5,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,34.7,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 2.5MM2 CU XLPE/PVC X-90 0.6/1kV,36,40,NIL,36,40,NIL,28,40,NIL,30,40,NIL,24,40,NIL,14,40,NIL,36,25,NIL,36,25,NIL,41,25,NIL,2.5,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18.9,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 4MM2 CU XLPE/PVC X-90 0.6/1kV,48,40,NIL,47,40,NIL,37,40,NIL,38,40,NIL,30,40,NIL,19,40,NIL,46,25,NIL,46,25,NIL,53,25,NIL,4,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.8,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 6MM2 CU XLPE/PVC X-90 0.6/1kV,61,40,NIL,60,40,NIL,47,40,NIL,47,40,NIL,38,40,NIL,24,40,NIL,58,25,NIL,58,25,NIL,66,25,NIL,6,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.87,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 10MM2 CU XLPE/PVC X-90 0.6/1kV,84,40,NIL,82,40,NIL,65,40,NIL,65,40,NIL,52,40,NIL,32,40,NIL,78,25,NIL,78,25,NIL,87,25,NIL,10,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.68,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 16MM2 CU XLPE/PVC X-90 0.6/1kV,112,40,NIL,108,40,NIL,86,40,NIL,84,40,NIL,67,40,NIL,43,40,NIL,139,25,NIL,100,25,NIL,112,25,NIL,16,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.95,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 25MM2 CU XLPE/PVC X-90 0.6/1kV,151,40,NIL,145,40,NIL,117,40,NIL,113,40,NIL,90,40,NIL,58,40,NIL,179,25,NIL,131,25,NIL,146,25,NIL,25,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.87,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 35MM2 CU XLPE/PVC X-90 0.6/1kV,186,40,NIL,177,40,NIL,144,40,NIL,135,40,NIL,108,40,NIL,72,40,NIL,215,25,NIL,157,25,NIL,175,25,NIL,35,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.35,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 50MM2 CU XLPE/PVC X-90 0.6/1kV,228,40,NIL,216,40,NIL,176,40,NIL,166,40,NIL,133,40,NIL,0,40,NIL,255,25,NIL,189,25,NIL,211,25,NIL,50,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.01,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 70MM2 CU XLPE/PVC X-90 0.6/1kV,291,40,NIL,273,40,NIL,224,40,NIL,204,40,NIL,164,40,NIL,0,40,NIL,313,25,NIL,233,25,NIL,258,25,NIL,70,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.71,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 95MM2 CU XLPE/PVC X-90 0.6/1kV,361,40,NIL,338,40,NIL,278,40,NIL,255,40,NIL,204,40,NIL,0,40,NIL,375,25,NIL,285,25,NIL,309,25,NIL,95,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.528,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 120MM2 CU XLPE/PVC X-90 0.6/1kV,422,40,NIL,393,40,NIL,325,40,NIL,292,40,NIL,233,40,NIL,0,40,NIL,427,25,NIL,325,25,NIL,358,25,NIL,120,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.431,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 150MM2 CU XLPE/PVC X-90 0.6/1kV,486,40,NIL,451,40,NIL,375,40,NIL,329,40,NIL,263,40,NIL,0,40,NIL,480,25,NIL,365,25,NIL,401,25,NIL,150,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.365,0,0,0,Olex,,A,
CU,1C,ACTIVE,SINGLE,1C 185MM2 CU XLPE/PVC X-90 0.6/1kV,565,40,NIL,522,40,NIL,436,40,NIL,387,40,NIL,309,40,NIL,0,40,NIL,543,25,NIL,423,25,NIL,463,25,NIL,185,MM2,1,0,-,0,0,-,0,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.311,0,0,0,Olex,,A,
