conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,underground_ducts.current,underground_ducts.installTemp,underground_ducts.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
AL,3C+E,POWER,MULTI,3C+E 1MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,1,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 1.5MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,1.5,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 2.5MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,2.5,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 4MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,4,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 6MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,6,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 10MM2 AL PVC/PVC V-75 0.6/1kV,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,40,NIL,0,25,NIL,0,25,NIL,10,MM2,3,0,MM2,0,0,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 16MM2 AL PVC/PVC V-75 0.6/1kV,56,40,NIL,53,40,NIL,45,40,NIL,42,40,NIL,26,40,NIL,75,25,NIL,56,25,NIL,16,MM2,3,0,MM2,0,4,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.04,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 25MM2 AL PVC/PVC V-75 0.6/1kV,75,40,NIL,71,40,NIL,59,40,NIL,57,40,NIL,35,40,NIL,97,25,NIL,73,25,NIL,25,MM2,3,0,MM2,0,6,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.54,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 35MM2 AL PVC/PVC V-75 0.6/1kV,93,40,NIL,87,40,NIL,73,40,NIL,69,40,NIL,43,40,NIL,117,25,NIL,89,25,NIL,35,MM2,3,0,MM2,0,6,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.84,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 50MM2 AL PVC/PVC V-75 0.6/1kV,113,40,NIL,106,40,NIL,87,40,NIL,85,40,NIL,0,40,NIL,138,25,NIL,105,25,NIL,50,MM2,3,0,MM2,0,10,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.36,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 70MM2 AL PVC/PVC V-75 0.6/1kV,143,40,NIL,134,40,NIL,111,40,NIL,107,40,NIL,0,40,NIL,170,25,NIL,132,25,NIL,70,MM2,3,0,MM2,0,10,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.948,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 95MM2 AL PVC/PVC V-75 0.6/1kV,177,40,NIL,165,40,NIL,137,40,NIL,132,40,NIL,0,40,NIL,204,25,NIL,161,25,NIL,95,MM2,3,0,MM2,0,16,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.691,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 120MM2 AL PVC/PVC V-75 0.6/1kV,206,40,NIL,192,40,NIL,157,40,NIL,154,40,NIL,0,40,NIL,233,25,NIL,184,25,NIL,120,MM2,3,0,MM2,0,25,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.552,0,0,0,Olex,,A,
AL,3C+E,POWER,MULTI,3C+E 150MM2 AL PVC/PVC V-75 0.6/1kV,235,40,NIL,219,40,NIL,177,40,NIL,175,40,NIL,0,40,NIL,261,25,NIL,207,25,NIL,150,MM2,3,0,MM2,0,25,MM2,1,PVC,V-75,75,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.457,0,0,0,Olex,,A,
